#WV	FL
-2.683	5.3580E-04
-2.682	5.6500E-04
-2.681	5.9416E-04
-2.68	6.2327E-04
-2.679	6.5232E-04
-2.678	6.8132E-04
-2.677	7.1026E-04
-2.676	7.3914E-04
-2.675	7.6795E-04
-2.674	7.9670E-04
-2.673	8.2537E-04
-2.672	8.5397E-04
-2.671	8.8249E-04
-2.67	9.1093E-04
-2.669	9.3928E-04
-2.668	9.6755E-04
-2.667	9.9572E-04
-2.666	1.0238E-03
-2.665	1.0518E-03
-2.664	1.0797E-03
-2.663	1.1075E-03
-2.662	1.1351E-03
-2.661	1.1627E-03
-2.66	1.1902E-03
-2.659	1.2175E-03
-2.658	1.2447E-03
-2.657	1.2718E-03
-2.656	1.2988E-03
-2.655	1.3256E-03
-2.654	1.3523E-03
-2.653	1.3789E-03
-2.652	1.4054E-03
-2.651	1.4317E-03
-2.65	1.4578E-03
-2.649	1.4838E-03
-2.648	1.5097E-03
-2.647	1.5354E-03
-2.646	1.5610E-03
-2.645	1.5864E-03
-2.644	1.6116E-03
-2.643	1.6367E-03
-2.642	1.6616E-03
-2.641	1.6864E-03
-2.64	1.7109E-03
-2.639	1.7353E-03
-2.638	1.7595E-03
-2.637	1.7836E-03
-2.636	1.8074E-03
-2.635	1.8311E-03
-2.634	1.8546E-03
-2.633	1.8779E-03
-2.632	1.9010E-03
-2.631	1.9239E-03
-2.63	1.9466E-03
-2.629	1.9691E-03
-2.628	1.9914E-03
-2.627	2.0135E-03
-2.626	2.0354E-03
-2.625	2.0570E-03
-2.624	2.0785E-03
-2.623	2.0997E-03
-2.622	2.1207E-03
-2.621	2.1415E-03
-2.62	2.1621E-03
-2.619	2.1825E-03
-2.618	2.2026E-03
-2.617	2.2225E-03
-2.616	2.2421E-03
-2.615	2.2615E-03
-2.614	2.2807E-03
-2.613	2.2996E-03
-2.612	2.3183E-03
-2.611	2.3368E-03
-2.61	2.3550E-03
-2.609	2.3730E-03
-2.608	2.3907E-03
-2.607	2.4081E-03
-2.606	2.4253E-03
-2.605	2.4423E-03
-2.604	2.4589E-03
-2.603	2.4754E-03
-2.602	2.4915E-03
-2.601	2.5074E-03
-2.6	2.5230E-03
-2.599	2.5384E-03
-2.598	2.5535E-03
-2.597	2.5683E-03
-2.596	2.5828E-03
-2.595	2.5971E-03
-2.594	2.6110E-03
-2.593	2.6247E-03
-2.592	2.6382E-03
-2.591	2.6513E-03
-2.59	2.6642E-03
-2.589	2.6767E-03
-2.588	2.6890E-03
-2.587	2.7010E-03
-2.586	2.7127E-03
-2.585	2.7241E-03
-2.584	2.7352E-03
-2.583	2.7460E-03
-2.582	2.7566E-03
-2.581	2.7668E-03
-2.58	2.7767E-03
-2.579	2.7864E-03
-2.578	2.7957E-03
-2.577	2.8047E-03
-2.576	2.8134E-03
-2.575	2.8218E-03
-2.574	2.8299E-03
-2.573	2.8377E-03
-2.572	2.8452E-03
-2.571	2.8524E-03
-2.57	2.8593E-03
-2.569	2.8659E-03
-2.568	2.8721E-03
-2.567	2.8781E-03
-2.566	2.8837E-03
-2.565	2.8890E-03
-2.564	2.8940E-03
-2.563	2.8987E-03
-2.562	2.9030E-03
-2.561	2.9071E-03
-2.56	2.9108E-03
-2.559	2.9142E-03
-2.558	2.9173E-03
-2.557	2.9201E-03
-2.556	2.9225E-03
-2.555	2.9247E-03
-2.554	2.9265E-03
-2.553	2.9280E-03
-2.552	2.9291E-03
-2.551	2.9300E-03
-2.55	2.9305E-03
-2.549	2.9307E-03
-2.548	2.9306E-03
-2.547	2.9302E-03
-2.546	2.9294E-03
-2.545	2.9283E-03
-2.544	2.9269E-03
-2.543	2.9252E-03
-2.542	2.9231E-03
-2.541	2.9207E-03
-2.54	2.9180E-03
-2.539	2.9150E-03
-2.538	2.9116E-03
-2.537	2.9080E-03
-2.536	2.9040E-03
-2.535	2.8996E-03
-2.534	2.8950E-03
-2.533	2.8901E-03
-2.532	2.8848E-03
-2.531	2.8792E-03
-2.53	2.8732E-03
-2.529	2.8670E-03
-2.528	2.8604E-03
