# Example ARIES LBLRTM output
# WN (cm^{-1})  Rad(mW m^{-2} sr^{-1} cm)
     636.304      4.48295
     636.404      4.43073
     636.504      4.39306
     636.604      4.37429
     636.704      4.37408
     636.804      4.38801
     636.904      4.40916
     637.004      4.43003
     637.104      4.44439
     637.204      4.44858
     637.304      4.44219
     637.404      4.42778
     637.504      4.41009
     637.604      4.39467
     637.704      4.38636
     637.804      4.38803
     637.904      4.39970
     638.004      4.41852
     638.104      4.43933
     638.204      4.45601
     638.304      4.46310
     638.404      4.45727
     638.504      4.43838
     638.604      4.40953
     638.704      4.37628
     638.804      4.34512
     638.904      4.32166
     639.004      4.30909
     639.104      4.30750
     639.204      4.31418
     639.304      4.32486
     639.404      4.33553
     639.504      4.34403
     639.604      4.35091
     639.704      4.35918
     639.804      4.37296
     639.904      4.39547
     640.004      4.42715
     640.104      4.46459
     640.204      4.50093
     640.304      4.52755
     640.404      4.53673
     640.504      4.52443
     640.604      4.49201
     640.704      4.44647
     640.804      4.39869
     640.904      4.36041
     641.004      4.34053
     641.104      4.34230
     641.204      4.36204
     641.304      4.39012
     641.404      4.41385
     641.504      4.42151
     641.604      4.40605
     641.704      4.36756
     641.804      4.31337
     641.904      4.25599
     642.004      4.20937
     642.104      4.18481
     642.204      4.18767
     642.304      4.21605
     642.404      4.26170
     642.504      4.31277
     642.604      4.35752
     642.704      4.38767
     642.804      4.40036
     642.904      4.39821
     643.004      4.38770
     643.104      4.37644
     643.204      4.37047
     643.304      4.37261
     643.404      4.38213
     643.504      4.39598
     643.604      4.41066
     643.704      4.42405
     643.804      4.43636
     643.904      4.44971
     644.004      4.46655
     644.104      4.48764
     644.204      4.51043
     644.304      4.52865
     644.404      4.53357
     644.504      4.51660
     644.604      4.47255
     644.704      4.40227
     644.804      4.31384
     644.904      4.22164
     645.005      4.14325
     645.105      4.09520
     645.205      4.08856
     645.305      4.12573
     645.405      4.19938
     645.505      4.29393
     645.605      4.38916
     645.705      4.46486
     645.805      4.50547
     645.905      4.50339
     646.005      4.46024
     646.105      4.38593
     646.205      4.29599
     646.305      4.20792
     646.405      4.13767
     646.505      4.09681
     646.605      4.09112
     646.705      4.12034
     646.805      4.17911
     646.905      4.25834
     647.005      4.34686
     647.105      4.43292
     647.205      4.50541
     647.305      4.55501
     647.405      4.57506
     647.505      4.56250
     647.605      4.51859
     647.705      4.44921
     647.805      4.36475
     647.905      4.27917
     648.005      4.20831
     648.105      4.16766
     648.205      4.16978
     648.305      4.22186
     648.405      4.32389
     648.505      4.46774
     648.605      4.63758
     648.705      4.81160
     648.805      4.96498
     648.905      5.07374
     649.005      5.11903
     649.105      5.09094
     649.205      4.99125
     649.305      4.83428
     649.405      4.64537
     649.505      4.45695
     649.605      4.30279
     649.705      4.21124
     649.805      4.19907
     649.905      4.26730
     650.005      4.40012
     650.105      4.56768
     650.205      4.73204
     650.305      4.85537
     650.405      4.90836
     650.505      4.87683
     650.605      4.76486
     650.705      4.59372
     650.805      4.39670
     650.905      4.21124
     651.005      4.07050
     651.105      3.99623
     651.205      3.99497
     651.305      4.05803
     651.405      4.16512
     651.505      4.29027
     651.605      4.40824
     651.705      4.49968
     651.805      4.55400
     651.905      4.56936
     652.005      4.55064
     652.105      4.50624
     652.205      4.44523
     652.305      4.37552
     652.405      4.30357
     652.505      4.23516
     652.605      4.17653
     652.705      4.13491
     652.805      4.11794
     652.905      4.13188
     653.005      4.17931
     653.105      4.25699
     653.205      4.35513
     653.305      4.45840
     653.405      4.54876
     653.505      4.60938
     653.605      4.62869
     653.705      4.60327
     653.805      4.53877
     653.905      4.44871
     654.005      4.35142
     654.105      4.26607
     654.205      4.20881
     654.305      4.18988
     654.405      4.21232
     654.505      4.27202
     654.605      4.35900
     654.705      4.45920
     654.805      4.55650
     654.905      4.63464
     655.006      4.67912
     655.106      4.67922
     655.206      4.62998
     655.306      4.53403
     655.406      4.40254
     655.506      4.25482
     655.606      4.11589
     655.706      4.01222
     655.806      3.96619
     655.906      3.99060
     656.006      4.08464
     656.106      4.23291
     656.206      4.40782
     656.306      4.57542
     656.406      4.70296
     656.506      4.76650
     656.606      4.75633
     656.706      4.67870
     656.806      4.55344
     656.906      4.40831
     657.006      4.27171
     657.106      4.16606
     657.206      4.10356
     657.306      4.08545
     657.406      4.10446
     657.506      4.14912
     657.606      4.20823
     657.706      4.27377
     657.806      4.34131
     657.906      4.40822
     658.006      4.47085
     658.106      4.52219
     658.206      4.55174
     658.306      4.54783
     658.406      4.50204
     658.506      4.41411
     658.606      4.29513
     658.706      4.16739
     658.806      4.06023
     658.906      4.00267
     659.006      4.01480
     659.106      4.10082
     659.206      4.24608
     659.306      4.41953
     659.406      4.58123
     659.506      4.69280
     659.606      4.72782
     659.706      4.67892
     659.806      4.55944
     659.906      4.39919
     660.006      4.23567
     660.106      4.10362
     660.206      4.02617
     660.306      4.01017
     660.406      4.04688
     660.506      4.11727
     660.606      4.19962
     660.706      4.27665
     660.806      4.33963
     660.906      4.38828
     661.006      4.42696
     661.106      4.45923
     661.206      4.48331
     661.306      4.49071
     661.406      4.46896
     661.506      4.40769
     661.606      4.30559
     661.706      4.17550
     661.806      4.04495
     661.906      3.95110
     662.006      3.93111
     662.106      4.01058
     662.206      4.19388
     662.306      4.45964
     662.406      4.76357
     662.506      5.04805
     662.606      5.25628
     662.706      5.34670
     662.806      5.30361
     662.906      5.14078
     663.006      4.89712
     663.106      4.62572
     663.206      4.37975
     663.306      4.19936
     663.406      4.10324
     663.506      4.08703
     663.606      4.12818
     663.706      4.19543
     663.806      4.25920
     663.906      4.29987
     664.006      4.31138
     664.106      4.29986
     664.206      4.27845
     664.306      4.26051
     664.406      4.25420
     664.506      4.25994
     664.606      4.27147
     664.706      4.27967
     664.806      4.27714
     664.906      4.26173
     665.007      4.23753
     665.107      4.21304
     665.207      4.19749
     665.307      4.19682
     665.407      4.21114
     665.507      4.23460
     665.607      4.25772
     665.707      4.27117
     665.807      4.26945
     665.907      4.25285
     666.007      4.22712
     666.107      4.20084
     666.207      4.18188
     666.307      4.17439
     666.407      4.17782
     666.507      4.18842
     666.607      4.20271
     666.707      4.22134
     666.807      4.25157
     666.907      4.30684
     667.007      4.40319
     667.107      4.55330
     667.207      4.76021
     667.307      5.01316
     667.407      5.28737
     667.507      5.54839
     667.607      5.76013
     667.707      5.89414
     667.807      5.93730
     667.907      5.89521
     668.007      5.79019
     668.107      5.65427
     668.207      5.51946
     668.307      5.40846
     668.407      5.32889
     668.507      5.27290
     668.607      5.22220
     668.707      5.15678
     668.807      5.06402
     668.907      4.94504
     669.007      4.81591
     669.107      4.70309
     669.207      4.63453
     669.307      4.62952
     669.407      4.69063
     669.507      4.80076
     669.607      4.92643
     669.707      5.02645
     669.807      5.06351
     669.907      5.01491
     670.007      4.87925
     670.107      4.67710
     670.207      4.44542
     670.307      4.22764
     670.407      4.06245
     670.507      3.97457
     670.607      3.97000
     670.707      4.03674
     670.807      4.15007
     670.907      4.28041
     671.007      4.40112
     671.107      4.49381
     671.207      4.55025
     671.307      4.57085
     671.407      4.56100
     671.507      4.52728
     671.607      4.47487
     671.707      4.40714
     671.807      4.32712
     671.907      4.23985
     672.007      4.15400
     672.107      4.08186
     672.207      4.03707
     672.307      4.03084
     672.407      4.06777
     672.507      4.14308
     672.607      4.24218
     672.707      4.34334
     672.807      4.42261
     672.907      4.45987
     673.007      4.44399
     673.107      4.37581
     673.207      4.26795
     673.307      4.14162
     673.407      4.02145
     673.507      3.92979
     673.607      3.88211
     673.707      3.88442
     673.807      3.93322
     673.907      4.01747
     674.007      4.12172
     674.107      4.22938
     674.207      4.32538
     674.307      4.39773
     674.407      4.43818
     674.507      4.44233
     674.607      4.40961
     674.707      4.34341
     674.807      4.25121
     674.907      4.14455
     675.008      4.03825
     675.108      3.94878
     675.208      3.89181
     675.308      3.87926
     675.408      3.91670
     675.508      4.00167
     675.608      4.12354
     675.708      4.26500
     675.808      4.40488
     675.908      4.52182
     676.008      4.59780
     676.108      4.62099
     676.208      4.58754
     676.308      4.50194
     676.408      4.37635
     676.508      4.22885
     676.608      4.08118
     676.708      3.95586
     676.808      3.87318
     676.908      3.84804
     677.008      3.88715
     677.108      3.98706
     677.208      4.13357
     677.308      4.30308
     677.408      4.46603
     677.508      4.59201
     677.608      4.65581
     677.708      4.64290
     677.808      4.55321
     677.908      4.40181
     678.008      4.21639
     678.108      4.03165
     678.208      3.88205
     678.308      3.79459
     678.408      3.78325
     678.508      3.84664
     678.608      3.96905
     678.708      4.12469
     678.808      4.28368
     678.908      4.41832
     679.008      4.50807
     679.108      4.54225
     679.208      4.52029
     679.308      4.44992
     679.408      4.34432
     679.508      4.21917
     679.608      4.09036
     679.708      3.97263
     679.808      3.87880
     679.908      3.81934
     680.008      3.80160
     680.108      3.82868
     680.208      3.89816
     680.308      4.00119
     680.408      4.12272
     680.508      4.24317
     680.608      4.34167
     680.708      4.40009
     680.808      4.40707
     680.908      4.36078
     681.008      4.26962
     681.108      4.15057
     681.208      4.02545
     681.308      3.91624
     681.408      3.84056
     681.508      3.80847
     681.608      3.82139
     681.708      3.87296
     681.808      3.95153
     681.908      4.04319
     682.008      4.13441
     682.108      4.21381
     682.208      4.27273
     682.308      4.30513
     682.408      4.30715
     682.508      4.27713
     682.608      4.21620
     682.708      4.12921
     682.808      4.02552
     682.908      3.91899
     683.008      3.82654
     683.108      3.76532
     683.208      3.74904
     683.308      3.78431
     683.408      3.86817
     683.508      3.98770
     683.608      4.12214
     683.708      4.24691
     683.808      4.33893
     683.908      4.38152
     684.008      4.36783
     684.108      4.30188
     684.208      4.19709
     684.308      4.07279
     684.408      3.94984
     684.508      3.84650
     684.608      3.77557
     684.708      3.74316
     684.808      3.74912
     684.908      3.78850
     685.009      3.85332
     685.109      3.93408
     685.209      4.02065
     685.309      4.10269
     685.409      4.16996
     685.509      4.21293
     685.609      4.22395
     685.709      4.19886
     685.809      4.13864
     685.909      4.05039
     686.009      3.94715
     686.109      3.84620
     686.209      3.76600
     686.309      3.72248
     686.409      3.72552
     686.509      3.77652
     686.609      3.86787
     686.709      3.98426
     686.809      4.10579
     686.909      4.21184
     687.009      4.28498
     687.109      4.31394
     687.209      4.29513
     687.309      4.23266
     687.409      4.13694
     687.509      4.02250
     687.609      3.90550
     687.709      3.80136
     687.809      3.72295
     687.909      3.67914
     688.009      3.67399
     688.109      3.70645
     688.209      3.77049
     688.309      3.85592
     688.409      3.94966
     688.509      4.03761
     688.609      4.10677
     688.709      4.14732
     688.809      4.15410
     688.909      4.12743
     689.009      4.07269
     689.109      3.99917
     689.209      3.91820
     689.309      3.84117
     689.409      3.77791
     689.509      3.73557
     689.609      3.71824
     689.709      3.72704
     689.809      3.76039
     689.909      3.81425
     690.009      3.88227
     690.109      3.95595
     690.209      4.02499
     690.309      4.07834
     690.409      4.10583
     690.509      4.10028
     690.609      4.05966
     690.709      3.98848
     690.809      3.89794
     690.909      3.80430
     691.009      3.72578
     691.109      3.67859
     691.209      3.67305
     691.309      3.71092
     691.409      3.78484
     691.509      3.87998
     691.609      3.97762
     691.709      4.05957
     691.809      4.11234
     691.909      4.12969
     692.009      4.11318
     692.109      4.07058
     692.209      4.01282
     692.309      3.95073
     692.409      3.89241
     692.509      3.84219
     692.609      3.80118
     692.709      3.76900
     692.809      3.74576
     692.909      3.73345
     693.009      3.73591
     693.109      3.75744
     693.209      3.80060
     693.309      3.86396
     693.409      3.94084
     693.509      4.01975
     693.609      4.08658
     693.709      4.12791
     693.809      4.13460
     693.909      4.10438
     694.009      4.04275
     694.109      3.96170
     694.209      3.87686
     694.309      3.80374
     694.409      3.75433
     694.509      3.73485
     694.609      3.74525
     694.709      3.78031
     694.809      3.83170
     694.909      3.89029
     695.010      3.94796
     695.110      3.99836
     695.210      4.03696
     695.310      4.06056
     695.410      4.06689
     695.510      4.05478
     695.610      4.02476
     695.710      3.97996
     695.810      3.92666
     695.910      3.87384
     696.010      3.83177
     696.110      3.80948
     696.210      3.81216
     696.310      3.83920
     696.410      3.88374
     696.510      3.93416
     696.610      3.97731
     696.710      4.00244
     696.810      4.00475
     696.910      3.98719
     697.010      3.95989
     697.110      3.93708
     697.210      3.93257
     697.310      3.95492
     697.410      4.00409
     697.510      4.07064
     697.610      4.13789
     697.710      4.18637
     697.810      4.19954
     697.910      4.16870
     698.010      4.09593
     698.110      3.99389
     698.210      3.88279
     698.310      3.78528
     698.410      3.72086
     698.510      3.70137
     698.610      3.72867
     698.710      3.79512
     698.810      3.88618
     698.910      3.98442
     699.010      4.07350
     699.110      4.14112
     699.210      4.18031
     699.310      4.18918
     699.410      4.16965
